Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_class	-log10_p_val
EHD1	0.1466297628800921	-0.04172364813235374	0.885	0.689	1	Other	-0
TRMT6	0.14681813805009458	0.03076016690726685	0.198	0.149	1	Other	-0
TMEM70	0.1468710912449523	-0.955098289485066	0.175	0.128	1	Other	-0
SSR1	0.14689081298536397	0.04135276599227833	0.233	0.176	1	Other	-0
KCNMB1	0.14700033487316494	0.05309407968449117	0.056	0.027	1	Other	-0
AC120193.1	0.14700155090415515	0.05939682966833706	0.098	0.061	1	Other	-0
IKZF1	0.14701960507729037	-0.15335514056919597	0.205	0.142	1	Other	-0
SHC1	0.14702344871789186	0.03566264708017605	0.064	0.034	1	Other	-0
NR5A2	0.14751332861631053	0.04621936710994406	0.046	0.02	1	Other	-0
CUL3	0.1475635392433396	-0.02061028420469324	0.223	0.169	1	Other	-0
AC147651.4	0.14766166128507802	0.05692113808002524	0.099	0.061	1	Other	-0
NIN	0.14772240569062506	0.0309853038352787	0.064	0.034	1	Other	-0
PABPC1	0.14790384264099476	-0.19439660540195017	0.962	0.831	1	Other	-0
OAS3	0.14815855282289395	0.06826116233145291	0.036	0.014	1	Other	-0
BCAP29	0.14818290519882626	0.05011259860862789	0.046	0.02	1	Other	-0
FCGR1B	0.14828749802536104	0.03397234539871224	0.066	0.034	1	Other	-0
C11orf54	0.1483436002375743	-0.0232024580407506	0.013	0.027	1	Other	-0
LY6K	0.14875846379391025	0.13743066443415874	0.293	0.23	1	Other	-0
DHX15	0.14879650534523595	-0.0774234650326297	0.166	0.115	1	Other	-0
APH1A	0.14888996712190936	-0.05897395272063818	0.105	0.068	1	Other	-0
CD151	0.1489196598176658	0.07063444207509356	0.106	0.068	1	Other	-0
IQGAP1	0.14906518958697731	-0.09035542889214598	0.814	0.642	1	Other	-0
TAGAP	0.14907659824379904	-0.107735008731892	0.134	0.088	1	Other	-0
CNOT11	0.14917756113570102	-0.05155827888197553	0.055	0.027	1	Other	-0
GABARAP	0.14931706069162043	-0.07631051967996472	0.821	0.669	1	Other	-0
ARHGEF2	0.1493275068023775	-0.19293303119252891	0.359	0.277	1	Other	-0
HMGN4	0.1493315615078045	-0.15592036071847254	0.017	0.034	1	Other	-0
PIP4K2A	0.14934110596713537	0.03404052577968392	0.148	0.101	1	Other	-0
